"","player","team","position","points","total_rebounds","assists","steals","blocks","missed_field_goals","missed_free_throws","turnovers","games_played","efficiency","salary"
"1","Aaron Brooks","CHI","PG",7.11594202898551,1.46376811594203,2.60869565217391,0.434782608695652,0.144927536231884,-4.07246376811594,-0.217391304347826,-1.18840579710145,69,1.46057548374759,2e+06
"2","Aaron Gordon","ORL","PF",9.21794871794872,6.5,1.64102564102564,0.756410256410256,0.705128205128205,-3.91025641025641,-0.82051282051282,-0.846153846153846,78,4.49896199242326,4171680
"3","Aaron Harrison","CHO","SG",0.857142857142857,0.714285714285714,0.0952380952380952,0.285714285714286,0,-0.666666666666667,-0.333333333333333,-0.19047619047619,21,-0.872519537582957,525093
"4","Adreian Payne","MIN","PF",2.53846153846154,2.13461538461538,0.557692307692308,0.307692307692308,0.211538461538462,-1.76923076923077,-0.173076923076923,-0.692307692307692,52,0.361960283727,1938840
"5","Al-Farouq Aminu","POR","SF",10.2317073170732,6.08536585365854,1.68292682926829,0.878048780487805,0.646341463414634,-5.1219512195122,-0.5,-1.46341463414634,82,4.10690315197572,7500000
"6","Al Horford","ATL","C",15.2317073170732,7.26829268292683,3.20731707317073,0.829268292682927,1.47560975609756,-6.32926829268293,-0.317073170731707,-1.30487804878049,82,10.2564257814918,1.2e+07
"7","Al Jefferson","CHO","C",11.9574468085106,6.40425531914894,1.48936170212766,0.638297872340426,0.872340425531915,-5.53191489361702,-0.829787234042553,-0.723404255319149,47,6.32782032810366,13833333
"8","Alan Anderson","WAS","SG",5,2.07692307692308,1.07692307692308,0.307692307692308,0.0769230769230769,-2.92307692307692,-0.307692307692308,-0.153846153846154,13,-0.353982977563507,4e+06
"9","Alan Williams","PHO","PF",2.9,3.8,0.5,0.4,0.5,-1.4,-0.5,-0.6,10,1.1478829330635,114285
"10","Alec Burks","UTA","SG",13.2903225806452,3.51612903225806,2.03225806451613,0.580645161290323,0.129032258064516,-6.35483870967742,-1.12903225806452,-1.64516129032258,31,-0.841229165601362,9213484
"11","Alex Len","PHO","C",9.01282051282051,7.61538461538461,1.24358974358974,0.487179487179487,0.794871794871795,-4.61538461538461,-0.833333333333333,-1.85897435897436,78,3.523459647648,3807120
"12","Alex Stepheson","LAC","PF",0.5,0.5,0,0,0.5,0,-0.5,0,4,0.0817769095818388,61776
"13","Alex Stepheson","MEM","PF",5,6.5,0.5,0.25,0.75,-4.5,-1.5,0,4,-0.898734853719655,30888
